City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
134,Mackay,AU,87.01,few clouds,-21.15,149.2,International Lodge Motel
137,Singaraja,ID,84.31,broken clouds,-8.112,115.0882,Puri Bagus Lovina Resort
139,Hithadhoo,MV,83.71,overcast clouds,-0.6,73.0833,Scoop Guest House
153,Alugan,PH,81.21,broken clouds,12.2188,125.4808,JM Lodge
160,Flinders,AU,80.01,few clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
170,Saint-Georges,GD,77.0,few clouds,12.0564,-61.7485,Siesta Hotel
178,Saint-Joseph,RE,77.0,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
180,Padang,ID,86.0,few clouds,-0.9492,100.3543,Mercure Padang
182,Bubaque,GW,77.85,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
184,Sinawilan,PH,86.0,broken clouds,6.7544,125.2464,Shyren Bugak Spring Resort
190,Vao,NC,75.78,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
191,Akyab,MM,78.3,clear sky,20.15,92.9,Hotel Memory
192,Lekoni,GA,75.54,scattered clouds,-1.5843,14.2591,Rendez-vous Des ChasseursD
196,Bambanglipuro,ID,83.05,overcast clouds,-7.95,110.2833,Puri Brata
200,Butaritari,KI,80.58,light rain,3.0707,172.7902,Isles Sunset Lodge
204,Alofi,NU,84.2,scattered clouds,-19.0595,-169.9187,Taloa Heights
206,Ranau,MY,86.0,few clouds,5.9538,116.6641,Ranau Backpackers Hostel
208,Prabumulih,ID,81.01,overcast clouds,-3.45,104.25,OYO 2722 Lemon Residence Prabumulih
209,Itarema,BR,78.01,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
210,Patos,BR,76.39,scattered clouds,-7.0244,-37.28,Hotel JK
213,Hambantota,LK,78.8,few clouds,6.1241,81.1185,Bungalow 63
214,Fuerte,PH,83.73,clear sky,17.5381,120.3644,Giordion Inn
217,Bislig,PH,83.19,heavy intensity rain,8.2167,126.2833,Paper Country Inn
