City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
327,Dharchula,IN,29.85,80.5333,65.07,26,0,2.71,clear sky
328,Balkanabat,TM,39.5108,54.3671,48.42,52,88,8.61,overcast clouds
329,Shingu,JP,33.7333,135.9833,57.2,67,75,4.61,broken clouds
330,Magadan,RU,59.5667,150.8,-3.71,84,38,2.91,scattered clouds
331,Port Hardy,CA,50.6996,-127.4199,44.6,75,90,11.5,overcast clouds
332,Adrar,MR,20.5022,-10.0711,59.95,39,0,9.84,clear sky
333,Fresnillo,MX,23.1667,-102.8833,68.0,21,1,11.5,clear sky
334,Sao Francisco,BR,-15.9486,-44.8644,69.96,92,99,2.84,heavy intensity rain
335,Poum,NC,-20.2333,164.0167,80.15,71,8,10.85,clear sky
336,Saint-Pierre,RE,-21.3393,55.4781,77.0,61,0,8.05,clear sky
337,Soure,BR,-0.7167,-48.5233,77.95,87,100,9.44,moderate rain
338,Manjhanpur,IN,25.5333,81.3833,80.15,19,0,4.07,clear sky
339,Mindelo,CV,16.8901,-24.9804,68.0,64,20,29.93,few clouds
340,Alice Springs,AU,-23.7,133.8833,89.6,25,0,12.66,clear sky
341,Tarrega,ES,41.647,1.1396,45.0,88,76,3.0,broken clouds
342,Malartic,CA,48.1335,-78.1328,26.01,63,90,8.05,light snow
343,Biak,ID,-0.9131,122.8766,75.7,88,100,3.11,overcast clouds
344,Camacha,PT,33.0833,-16.3333,57.2,82,75,11.5,broken clouds
345,Bollnas,SE,61.3482,16.3946,23.0,68,53,5.68,broken clouds
346,Buraydah,SA,26.326,43.975,64.4,45,40,9.22,scattered clouds
347,Presidente Medici,BR,-11.1753,-61.9014,72.84,93,72,1.54,broken clouds
